city_name,city_latitude,city_longitude
Briarwood, 41.942810, -89.114540
Briarwood Glen, 42.136940, -87.849440
Bricktown, 41.939200, -87.683390
Bridge Island, 39.460330, -90.612900
Bridgeport, 41.838090, -87.651160
Bridgeport, 38.705880, -87.760030
Bridgeview, 41.750030, -87.804220
Bridgeway Addition, 41.473370, -90.504300
Bridlewood Lane, 42.125560, -87.803890
Bridlewoods, 42.238360, -88.098690
Briergate, 42.176140, -87.814790
Briergate Station, 42.177530, -87.819230
Brierwoods, 42.216690, -88.102020
Brighton, 39.039770, -90.140660
Brighton Lakes, 41.552220, -88.210000
Brighton Meadows, 41.706800, -88.276700
Brighton Park, 41.818920, -87.698940
Brimfield, 40.838930, -89.886500
Brisbane, 41.492530, -87.957830
Bristol, 41.685590, -88.428130
Bristol Heights, 41.598060, -87.984720
Broadlands, 39.908650, -87.994200
Broadmoor, 41.145590, -89.628710
Broadview, 41.863920, -87.853390
Broadwell, 40.068100, -89.443160
Brockdale Manor, 42.103060, -87.860000
Brocton, 39.715590, -87.932530
Brokaw, 40.451150, -88.902570
Broken Arrow, 41.578330, -88.016670
Bronson, 40.115040, -87.805300
Bronzeville, 41.830870, -87.626440
Brook Crossings Estates, 41.716110, -88.182220
Brook Lawn, 41.412530, -90.427630
Brookdale, 41.768090, -87.594490
Brookfield, 41.823920, -87.851730
Brookline, 41.762260, -87.608100
Brooklyn, 40.225880, -90.763190
Brooklyn, 38.658660, -90.165940
Brookport, 37.123670, -88.630330
Brooks, 38.774220, -90.090110
Brookside, 41.566670, -88.233890
Brookside, 41.935860, -88.432580
Brookside Estates, 42.128060, -87.841940
Brookside Manor, 41.677400, -88.353100
Brookville, 39.039490, -88.066150
Brookville, 42.048640, -89.684000
Brookville, 40.064760, -87.606410
Brookwood Estates, 41.702220, -88.121940
Brothers, 40.144480, -87.808640
Broughton, 37.934770, -88.461990
Brownfield, 37.345610, -88.606990
Browning, 40.128940, -90.372070
Browns, 38.376990, -87.983090
Browns Crossing, 39.723940, -89.984000
Browns Island, 39.632820, -91.236810
Browns Mill, 42.282240, -89.520950
Brownstown, 38.995880, -88.952840
Brownsville, 38.041440, -88.244760
Brownsville Island, 40.175600, -91.501540
Brownwood, 40.396150, -89.474820
Brubaker, 38.693100, -88.876450
Bruce, 39.518920, -88.594500
Brussels, 38.949490, -90.588730
Bryant, 40.466150, -90.091790
Bryce, 40.634480, -87.756700
Buckeye, 40.531980, -90.290960
Buckhart, 39.749770, -89.444810
Buckhorn, 39.936710, -90.835960
Buckhorn Corners, 42.424740, -89.638450
Buckhorn Island, 39.499770, -90.588180
Buckingham, 41.046980, -88.175330
Buckley, 40.596980, -88.038100
Buckner, 37.983110, -89.016180
Bucks, 40.265040, -88.970080
Bucktown, 41.921690, -87.678780
Bucktown, 40.113370, -87.744750
Buda, 41.326150, -89.678990
Budd, 41.098920, -88.623120
Buena Park, 41.957810, -87.652830
Buena Vista, 42.425570, -89.677900
Buena Vista, 37.738380, -88.576160
Buffalo, 39.852550, -89.408700
Buffalo Grove, 42.151410, -87.959790
Buffalo Grove, 41.981140, -89.595110
Buffalo Hart, 39.913940, -89.447600
Buffalo Prairie, 41.338370, -90.854870
Bull Island, 38.162270, -87.919750
Bull Valley, 42.320580, -88.355090
Bulldog Crossing, 39.795590, -89.012580
Bulls Island, 41.340870, -88.820630
Bulpitt, 39.591720, -89.423980
Bumgard Island, 37.042830, -89.362020
Buncombe, 37.471440, -88.977020
Bungay, 38.179210, -88.408660
Bunje, 38.992550, -89.591200
Bunker Hill, 39.042820, -89.951770
Bunkum, 38.620880, -90.044830
Burbank, 41.733920, -87.779500
Bureau, 41.289200, -89.366480
Burgess, 41.127260, -90.641530
Burke, 42.051140, -90.036790
Burksville, 38.267270, -90.152610
Burksville Station, 38.268110, -90.118440
Burlingame, 39.923660, -90.163450
Burlington, 42.052800, -88.548140
Burlington Island, 40.729210, -91.103760
Burnett, 41.277260, -89.663710
Burnham, 41.638920, -87.556710
Burnham Island, 37.141720, -89.412580
Burnham Place, 41.865590, -87.623660
Burnham Point, 41.713610, -88.193330
Burning Tree, 41.945860, -88.406750
Burns, 40.400310, -88.978410
Burnside, 41.730030, -87.596710
Burnside, 40.503930, -91.100140
Burnt Prairie, 38.251710, -88.261430
Burr Oak Acres, 42.191130, -89.035660
Burr Ridge, 41.748920, -87.918390
Burrowsville, 39.799480, -88.633120
Burt, 40.338100, -89.368430
Burton, 39.904770, -91.249030
Burton View, 40.170880, -89.484820
Burtons Bridge, 42.279740, -88.228970
Busenville, 39.987260, -87.675580
Bush, 37.843380, -89.131190
Bushnell, 40.552820, -90.506240
Bushs Corners, 42.295020, -87.983410
Bushton, 39.592260, -88.138650
Butler, 39.199490, -89.533980
Buttonwood, 42.128890, -87.807500
Buzzard Island, 40.239490, -91.497100
Buzzard Island, 41.228360, -91.092650
Buzzville, 40.366150, -89.990390
Bybee, 40.597820, -90.184840
Byron, 42.126970, -89.255660
Byron Hills Estates, 42.141410, -89.269830
C H Taylor's Sanwaldrun Estates, 42.131940, -87.876670
Cabery, 40.995870, -88.205330
Cable, 41.283920, -90.507350
Cabrini Addition, 41.902250, -87.640330
